1,100,4
1,101,6
1,102,5
1,103,3
1,104,7
1,105,5
1,106,6
1,107,5
1,108,2
1,109,3
1,110,2
1,111,2
1,112,4
1,113,2
1,114,3
1,115,1
1,116,2
1,117,3
1,118,3
1,119,2
1,120,3
1,121,5
2,107,3
2,103,3
2,103,2
2,102,4
2,122,3
2,105,2
2,111,6
2,109,1
2,108,1
2,106,1
2,110,1
2,123,1
2,101,1
2,112,1
2,118,1
2,114,1
2,117,1
2,116,1
2,124,1
2,113,1
2,125,1
2,120,1
3,101,3
3,103,4
3,107,3
3,103,3
3,102,2
3,122,4
3,105,2
3,106,2
3,111,1
3,109,2
3,110,2
3,114,1
3,112,1
3,113,2
3,126,2
3,118,1
3,117,1
3,116,1
3,108,1
3,119,1
3,123,1
3,115,1
4,103,1
4,101,3
4,107,6
4,102,4
4,103,5
4,105,5
4,106,6
4,111,5
4,110,5
4,109,4
4,112,1
4,126,3
4,113,2
4,117,2
4,118,1
4,108,3
4,127,1
4,116,1
4,128,1
4,123,1
4,124,4
4,120,1
5,107,5
5,103,3
5,103,5
5,122,7
5,105,3
5,106,5
5,129,5
5,109,5
5,114,2
5,111,3
5,112,3
5,113,5
5,102,1
5,118,3
5,117,1
5,110,2
5,130,4
5,131,1
5,132,4
5,120,3
5,121,5
5,116,5
6,103,3
6,101,4
6,107,4
6,102,4
6,122,4
6,105,3
6,106,4
6,111,2
6,109,1
6,108,1
6,110,1
6,113,1
6,112,1
6,126,2
6,117,1
6,118,1
6,116,1
6,133,1
6,134,1
6,135,2
6,136,1
6,115,3
7,122,7
7,110,4
7,109,2
7,101,1
7,114,3
7,133,2
7,137,1
7,123,5
7,112,5
7,101,2
7,102,1
7,117,4
7,118,4
7,128,2
7,124,5
7,138,5
7,132,5
7,121,4
7,115,6
7,126,6
8,107,8
8,101,6
8,122,6
8,103,6
8,105,6
8,109,4
8,108,3
8,118,5
8,106,3
8,102,1
8,110,3
8,114,6
8,132,6
8,131,4
8,139,5
8,101,5
8,126,6
8,138,6
8,123,4
8,124,7
8,128,5
8,113,6
9,101,6
9,103,2
9,107,5
9,103,1
9,105,4
9,129,6
9,109,5
9,110,1
9,112,2
9,113,1
9,126,2
9,102,1
9,127,1
9,117,2
9,118,1
9,114,1
9,106,1
9,128,3
9,124,4
9,123,2
9,134,1
9,115,3
9,116,3
10,103,7
